model,K,spk,local_t,gi,method,block_seconds,fade_seconds,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
audioseal,5,chinese:SSB0080,0,11,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5859,0.9991,31.73
audioseal,5,chinese:SSB0112,0,12,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5683,0.9992,29.38
audioseal,5,chinese:SSB0112,0,12,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5375,0.9985,26.50
audioseal,5,chinese:SSB0112,0,12,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5909,0.9994,31.57
audioseal,5,chinese:SSB0112,0,12,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5099,0.9982,25.84
audioseal,5,chinese:SSB0112,0,12,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.4134,0.9988,28.39
audioseal,5,chinese:SSB0112,0,12,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.1106,0.9975,25.44
audioseal,5,chinese:SSB0112,0,12,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.1184,0.9974,25.36
audioseal,5,chinese:SSB0112,0,12,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5430,0.9987,26.98
audioseal,5,chinese:SSB0122,0,13,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5811,0.9994,35.72
audioseal,5,chinese:SSB0122,0,13,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5943,0.9996,36.33
audioseal,5,chinese:SSB0122,0,13,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5632,0.9990,33.54
audioseal,5,chinese:SSB0122,0,13,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5675,0.9991,33.98
audioseal,5,chinese:SSB0122,0,13,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5609,0.9994,36.64
audioseal,5,chinese:SSB0122,0,13,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.4191,0.9992,32.32
audioseal,5,chinese:SSB0122,0,13,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.9375,4.4173,0.9992,32.35
audioseal,5,chinese:SSB0122,0,13,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5955,0.9996,36.16
audioseal,5,chinese:SSB0133,0,14,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5866,0.9991,39.06
audioseal,5,chinese:SSB0133,0,14,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5487,0.9985,36.01
audioseal,5,chinese:SSB0133,0,14,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5229,0.9977,33.83
audioseal,5,chinese:SSB0133,0,14,eep,2.0,0.02,blockwise_max_pair_mse,1,0,0,0.9375,4.5983,0.9995,40.31
audioseal,5,chinese:SSB0133,0,14,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.4484,0.9992,39.35
audioseal,5,chinese:SSB0133,0,14,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.2700,0.9983,33.89
audioseal,5,chinese:SSB0133,0,14,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.2813,0.9981,33.75
audioseal,5,chinese:SSB0133,0,14,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5479,0.9985,36.01
audioseal,5,chinese:SSB0139,0,15,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.6037,0.9998,35.52
audioseal,5,chinese:SSB0139,0,15,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5919,0.9998,35.37
audioseal,5,chinese:SSB0139,0,15,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5618,0.9996,31.36
audioseal,5,chinese:SSB0139,0,15,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5563,0.9996,30.64
audioseal,5,chinese:SSB0139,0,15,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5381,0.9998,35.91
audioseal,5,chinese:SSB0139,0,15,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.4642,0.9997,32.03
audioseal,5,chinese:SSB0139,0,15,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.4805,0.9997,31.74
audioseal,5,chinese:SSB0139,0,15,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5883,0.9998,34.85
audioseal,5,chinese:SSB0145,0,16,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5927,0.9994,34.14
