model,K,spk,local_t,eps,r0,ASR
wavmark,3,chinese:SSB0342,0,0.05,0.1,1
wavmark,3,chinese:SSB0342,0,0.05,0.3,1
wavmark,3,chinese:SSB0354,0,0.0,0.05,1
wavmark,3,chinese:SSB0354,0,0.0,0.1,1
wavmark,3,chinese:SSB0354,0,0.0,0.3,1
wavmark,3,chinese:SSB0354,0,0.001,0.05,1
wavmark,3,chinese:SSB0354,0,0.001,0.1,1
wavmark,3,chinese:SSB0354,0,0.001,0.3,1
wavmark,3,chinese:SSB0354,0,0.01,0.05,1
wavmark,3,chinese:SSB0354,0,0.01,0.1,1
wavmark,3,chinese:SSB0354,0,0.01,0.3,1
wavmark,3,chinese:SSB0354,0,0.05,0.05,1
wavmark,3,chinese:SSB0354,0,0.05,0.1,1
wavmark,3,chinese:SSB0354,0,0.05,0.3,1
wavmark,3,chinese:SSB0366,0,0.0,0.05,1
wavmark,3,chinese:SSB0366,0,0.0,0.1,1
wavmark,3,chinese:SSB0366,0,0.0,0.3,1
wavmark,3,chinese:SSB0366,0,0.001,0.05,1
wavmark,3,chinese:SSB0366,0,0.001,0.1,0
wavmark,3,chinese:SSB0366,0,0.001,0.3,0
wavmark,3,chinese:SSB0366,0,0.01,0.05,1
wavmark,3,chinese:SSB0366,0,0.01,0.1,1
wavmark,3,chinese:SSB0366,0,0.01,0.3,1
wavmark,3,chinese:SSB0366,0,0.05,0.05,1
wavmark,3,chinese:SSB0366,0,0.05,0.1,1
