model,K,spk,local_t,gi,method,block_seconds,fade_seconds,num_blocks,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
timbrewm,5,chinese:SSB0200,0,20,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.2759,0.9951,25.50
timbrewm,5,chinese:SSB0200,0,20,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.3889,0.9952,26.84
timbrewm,5,chinese:SSB0241,0,21,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5851,0.9986,33.08
timbrewm,5,chinese:SSB0241,0,21,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5963,0.9988,33.96
timbrewm,5,chinese:SSB0241,0,21,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5147,0.9976,30.73
timbrewm,5,chinese:SSB0241,0,21,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5643,0.9987,32.03
timbrewm,5,chinese:SSB0241,0,21,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5393,0.9983,32.61
timbrewm,5,chinese:SSB0241,0,21,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4228,0.9975,30.20
timbrewm,5,chinese:SSB0241,0,21,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4239,0.9978,30.20
timbrewm,5,chinese:SSB0241,0,21,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5932,0.9987,33.70
timbrewm,5,chinese:SSB0246,0,22,mean,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5511,0.9973,31.57
timbrewm,5,chinese:SSB0246,0,22,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5325,0.9974,31.29
timbrewm,5,chinese:SSB0246,0,22,rp,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5196,0.9962,29.90
timbrewm,5,chinese:SSB0246,0,22,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4636,0.9949,28.61
timbrewm,5,chinese:SSB0246,0,22,median,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5256,0.9972,31.51
timbrewm,5,chinese:SSB0246,0,22,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.4097,0.9966,28.59
timbrewm,5,chinese:SSB0246,0,22,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.4050,0.9963,28.54
timbrewm,5,chinese:SSB0246,0,22,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5112,0.9968,30.51
