model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,3,chinese:SSB0316,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_01.wav,3,3,96,mean,1,1,1,12,0.7500,0.277778,4.3772,0.9804,16.44
voicemark,3,chinese:SSB0316,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_02.wav,3,3,97,mean,1,1,1,11,0.6875,0.277778,4.4034,0.9852,17.30
voicemark,3,chinese:SSB0316,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_03.wav,3,3,98,mean,1,1,1,11,0.6875,0.388889,4.2985,0.9839,13.61
voicemark,3,chinese:SSB0323,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_01.wav,3,3,99,mean,1,1,1,14,0.8750,0.277778,3.8038,0.9538,12.02
voicemark,3,chinese:SSB0323,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_02.wav,3,3,100,mean,1,1,1,12,0.7500,0.388889,4.2319,0.9833,14.11
voicemark,3,chinese:SSB0323,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_03.wav,3,3,101,mean,1,1,1,12,0.7500,0.222222,4.2733,0.9712,12.76
voicemark,3,chinese:SSB0338,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_01.wav,3,3,102,mean,1,1,1,10,0.6250,0.333333,3.6630,0.9714,13.93
voicemark,3,chinese:SSB0338,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_02.wav,3,3,103,mean,1,1,1,11,0.6875,0.333333,4.2720,0.9774,13.16
voicemark,3,chinese:SSB0338,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_03.wav,3,3,104,mean,1,1,1,14,0.8750,0.388889,3.1181,0.9641,10.75
voicemark,3,chinese:SSB0339,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_01.wav,3,3,105,mean,1,1,1,12,0.7500,0.222222,4.2011,0.9742,16.00
voicemark,3,chinese:SSB0339,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_02.wav,3,3,106,mean,1,1,1,12,0.7500,0.388889,4.0415,0.9703,14.33
voicemark,3,chinese:SSB0339,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_03.wav,3,3,107,mean,1,1,1,12,0.7500,0.166667,3.6770,0.9570,11.98
voicemark,3,chinese:SSB0341,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_01.wav,3,3,108,mean,1,1,1,11,0.6875,0.222222,4.2336,0.9728,17.21
voicemark,3,chinese:SSB0341,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_02.wav,3,3,109,mean,1,1,1,9,0.5625,0.444444,4.2978,0.9817,15.94
voicemark,3,chinese:SSB0341,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_03.wav,3,3,110,mean,1,1,1,10,0.6250,0.111111,4.1134,0.9775,15.47
