model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,2,chinese:SSB0149,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,2,2,53,mean,1,1,1,11,0.6875,0.562500,4.4114,0.9929,15.32
wmcodec,2,chinese:SSB0193,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,2,2,54,mean,1,1,1,13,0.8125,0.687500,4.4613,0.9906,15.00
wmcodec,2,chinese:SSB0193,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_02.wav,2,3,55,mean,1,1,1,12,0.7500,0.500000,4.4405,0.9868,15.53
wmcodec,2,chinese:SSB0193,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_03.wav,2,2,56,mean,1,1,1,11,0.6875,0.312500,4.4663,0.9914,16.04
wmcodec,2,chinese:SSB0197,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_01.wav,2,2,57,mean,1,1,1,12,0.7500,0.562500,4.4109,0.9899,17.60
wmcodec,2,chinese:SSB0197,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_02.wav,2,4,58,mean,1,1,1,13,0.8125,0.625000,4.4234,0.9905,18.96
wmcodec,2,chinese:SSB0197,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_03.wav,2,2,59,mean,1,1,1,11,0.6875,0.312500,4.3140,0.9891,16.87
wmcodec,2,chinese:SSB0200,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_01.wav,2,2,60,mean,1,1,1,12,0.7500,0.500000,4.3470,0.9891,16.05
wmcodec,2,chinese:SSB0200,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,2,2,61,mean,1,1,0,13,0.8125,0.562500,4.3996,0.9899,16.40
wmcodec,2,chinese:SSB0200,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_03.wav,2,4,62,mean,1,1,1,11,0.6875,0.562500,4.3889,0.9864,18.21
