model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,3,chinese:SSB0246,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_03.wav,3,3,68,mean,1,1,1,13,0.8125,0.444444,4.6021,0.9997,35.08
audioseal,3,chinese:SSB0261,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_01.wav,3,3,69,mean,1,1,1,13,0.8125,0.388889,4.5978,0.9997,34.73
audioseal,3,chinese:SSB0261,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_02.wav,3,3,70,mean,1,1,1,12,0.7500,0.222222,4.6052,0.9998,33.91
audioseal,3,chinese:SSB0261,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_03.wav,3,3,71,mean,1,1,1,12,0.7500,0.333333,4.5956,0.9990,34.41
audioseal,3,chinese:SSB0267,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_01.wav,3,3,72,mean,1,1,1,12,0.7500,0.277778,4.5731,0.9990,36.67
audioseal,3,chinese:SSB0267,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_02.wav,3,3,73,mean,1,1,1,14,0.8750,0.500000,4.6016,0.9990,34.63
audioseal,3,chinese:SSB0267,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_03.wav,3,3,74,mean,1,1,1,14,0.8750,0.555556,4.5895,0.9991,34.09
audioseal,3,chinese:SSB0273,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_01.wav,3,3,75,mean,1,1,1,13,0.8125,0.333333,4.6069,0.9998,36.62
audioseal,3,chinese:SSB0273,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_02.wav,3,3,76,mean,1,1,1,15,0.9375,0.333333,4.6154,0.9998,39.70
audioseal,3,chinese:SSB0273,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_03.wav,3,3,77,mean,1,1,1,14,0.8750,0.333333,4.6145,0.9998,35.80
audioseal,3,chinese:SSB0287,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_01.wav,3,3,78,mean,1,1,1,14,0.8750,0.444444,4.5967,0.9997,34.21
audioseal,3,chinese:SSB0287,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_02.wav,3,3,79,mean,1,1,1,14,0.8750,0.611111,4.5386,0.9987,29.17
audioseal,3,chinese:SSB0287,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_03.wav,3,3,80,mean,1,1,1,13,0.8125,0.333333,4.5974,0.9998,34.36
audioseal,3,chinese:SSB0288,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_01.wav,3,3,81,mean,1,1,1,12,0.7500,0.277778,4.5946,0.9976,36.38
audioseal,3,chinese:SSB0288,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_02.wav,3,3,82,mean,1,1,1,12,0.7500,0.333333,4.6091,0.9984,37.55
audioseal,3,chinese:SSB0288,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_03.wav,3,3,83,mean,1,1,1,14,0.8750,0.277778,4.6048,0.9986,36.40
audioseal,3,chinese:SSB0299,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_01.wav,3,3,84,mean,1,1,1,13,0.8125,0.277778,4.5497,0.9998,35.32
audioseal,3,chinese:SSB0299,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_02.wav,3,3,85,mean,1,1,1,14,0.8750,0.333333,4.3141,0.9990,30.59
audioseal,3,chinese:SSB0299,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_03.wav,3,3,86,mean,1,1,1,13,0.8125,0.277778,4.5808,0.9988,34.86
audioseal,3,chinese:SSB0307,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_01.wav,3,3,87,mean,1,1,1,11,0.6875,0.222222,4.5669,0.9983,30.39
audioseal,3,chinese:SSB0307,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_02.wav,3,3,88,mean,1,1,1,11,0.6875,0.222222,4.5687,0.9985,33.20
audioseal,3,chinese:SSB0307,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_03.wav,3,3,89,mean,1,1,1,15,0.9375,0.444444,4.5946,0.9986,36.87
audioseal,3,chinese:SSB0309,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_01.wav,3,3,90,mean,1,1,1,11,0.6875,0.222222,4.5852,0.9988,35.51
audioseal,3,chinese:SSB0309,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_02.wav,3,3,91,mean,1,1,1,13,0.8125,0.333333,4.5622,0.9998,35.18
