model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,2,chinese:SSB0309,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_03.wav,2,2,92,mean,1,1,1,14,0.8750,0.625000,4.5745,0.9999,46.17
wavmark,2,chinese:SSB0315,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_01.wav,2,2,93,mean,1,1,1,14,0.8750,0.625000,4.5524,0.9999,45.93
wavmark,2,chinese:SSB0315,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_02.wav,2,2,94,mean,1,1,1,14,0.8750,0.625000,4.5996,1.0000,46.12
wavmark,2,chinese:SSB0315,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_03.wav,2,2,95,mean,0,0,0,16,1.0000,0.562500,4.5732,0.9999,46.23
wavmark,2,chinese:SSB0316,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_01.wav,2,2,96,mean,1,1,1,13,0.8125,0.437500,4.5687,0.9999,45.30
wavmark,2,chinese:SSB0316,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_02.wav,2,2,97,mean,1,1,1,12,0.7500,0.437500,4.5693,0.9998,44.82
wavmark,2,chinese:SSB0316,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_03.wav,2,2,98,mean,1,1,1,12,0.7500,0.375000,4.5211,0.9998,45.07
wavmark,2,chinese:SSB0323,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_01.wav,2,2,99,mean,1,1,1,12,0.7500,0.312500,4.5929,0.9999,44.02
wavmark,2,chinese:SSB0323,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_02.wav,2,2,100,mean,1,1,1,11,0.6875,0.312500,4.5346,0.9997,43.96
wavmark,2,chinese:SSB0323,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_03.wav,2,2,101,mean,1,1,1,11,0.6875,0.375000,4.5803,0.9979,44.19
wavmark,2,chinese:SSB0338,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_01.wav,2,2,102,mean,1,1,1,15,0.9375,0.500000,4.4339,0.9997,41.36
wavmark,2,chinese:SSB0338,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_02.wav,2,2,103,mean,1,1,1,12,0.7500,0.375000,4.4970,0.9998,41.55
wavmark,2,chinese:SSB0338,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_03.wav,2,2,104,mean,1,1,1,12,0.7500,0.437500,4.5422,0.9999,42.17
wavmark,2,chinese:SSB0339,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_01.wav,2,2,105,mean,1,1,1,13,0.8125,0.625000,4.5725,0.9993,42.28
wavmark,2,chinese:SSB0339,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_02.wav,2,2,106,mean,1,1,1,15,0.9375,0.687500,4.5646,0.9999,43.09
wavmark,2,chinese:SSB0339,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_03.wav,2,2,107,mean,1,1,1,14,0.8750,0.687500,4.5277,0.9996,43.01
wavmark,2,chinese:SSB0341,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_01.wav,2,2,108,mean,1,1,1,13,0.8125,0.187500,4.4437,0.9990,43.79
wavmark,2,chinese:SSB0341,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_02.wav,2,2,109,mean,1,1,1,12,0.7500,0.437500,4.5835,0.9998,44.83
wavmark,2,chinese:SSB0341,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_03.wav,2,2,110,mean,1,1,1,12,0.7500,0.312500,4.5299,0.9997,45.00
