model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
voicemark,8,247,average,37062,16,0.7580577135,6,dataset/collusion_300/english/19/english_19_02.wav,,native decoder bit marginal
voicemark,8,248,single,19956,16,0.9991608262,7,dataset/collusion_300/english/19/english_19_03.wav,,native decoder bit marginal
voicemark,8,248,average,61786,16,0.7631361485,9,dataset/collusion_300/english/19/english_19_03.wav,,native decoder bit marginal
voicemark,8,249,single,43690,16,0.9981005873,0,dataset/collusion_300/english/1926/english_1926_01.wav,,native decoder bit marginal
voicemark,8,249,average,10808,16,0.8385081291,3,dataset/collusion_300/english/1926/english_1926_01.wav,,native decoder bit marginal
voicemark,8,250,single,56148,16,0.9998311204,10,dataset/collusion_300/english/1926/english_1926_02.wav,,native decoder bit marginal
voicemark,8,250,average,7159,16,0.9412396550,15,dataset/collusion_300/english/1926/english_1926_02.wav,,native decoder bit marginal
voicemark,8,251,single,29361,16,0.8953537419,3,dataset/collusion_300/english/1926/english_1926_03.wav,,native decoder bit marginal
voicemark,8,251,average,52935,16,0.6037459373,9,dataset/collusion_300/english/1926/english_1926_03.wav,,native decoder bit marginal
voicemark,8,252,single,60130,16,0.9998550853,8,dataset/collusion_300/english/196/english_196_01.wav,,native decoder bit marginal
voicemark,8,252,average,30525,16,0.9957149918,11,dataset/collusion_300/english/196/english_196_01.wav,,native decoder bit marginal
voicemark,8,253,single,14528,16,0.9529963546,8,dataset/collusion_300/english/196/english_196_02.wav,,native decoder bit marginal
voicemark,8,253,targeted,29288,16,0.8764842749,6,dataset/collusion_300/english/196/english_196_02.wav,1,native decoder bit marginal
voicemark,8,253,average,29304,16,0.7428768873,4,dataset/collusion_300/english/196/english_196_02.wav,,native decoder bit marginal
voicemark,8,254,single,56827,16,0.9995535602,9,dataset/collusion_300/english/196/english_196_03.wav,,native decoder bit marginal
voicemark,8,254,average,50167,16,0.5320211053,7,dataset/collusion_300/english/196/english_196_03.wav,,native decoder bit marginal
voicemark,8,255,single,64120,16,0.9234473109,11,dataset/collusion_300/english/1963/english_1963_01.wav,,native decoder bit marginal
voicemark,8,255,average,59192,16,0.9919885993,4,dataset/collusion_300/english/1963/english_1963_01.wav,,native decoder bit marginal
voicemark,8,256,single,45074,16,0.9997174297,9,dataset/collusion_300/english/1963/english_1963_02.wav,,native decoder bit marginal
voicemark,8,256,average,30466,16,0.5212913752,7,dataset/collusion_300/english/1963/english_1963_02.wav,,native decoder bit marginal
voicemark,8,257,single,12491,16,0.9207019880,4,dataset/collusion_300/english/1963/english_1963_03.wav,,native decoder bit marginal
voicemark,8,257,average,60399,16,0.7827365994,1,dataset/collusion_300/english/1963/english_1963_03.wav,,native decoder bit marginal
voicemark,8,258,single,23690,16,0.8954617381,7,dataset/collusion_300/english/1970/english_1970_01.wav,,native decoder bit marginal
voicemark,8,258,average,31033,16,0.3689126968,15,dataset/collusion_300/english/1970/english_1970_01.wav,,native decoder bit marginal
voicemark,8,259,single,6936,16,0.9971644855,14,dataset/collusion_300/english/1970/english_1970_02.wav,,native decoder bit marginal
voicemark,8,259,average,23380,16,0.5184738040,9,dataset/collusion_300/english/1970/english_1970_02.wav,,native decoder bit marginal
voicemark,8,260,single,30962,16,0.9987348551,3,dataset/collusion_300/english/1970/english_1970_03.wav,,native decoder bit marginal
voicemark,8,260,average,50772,16,0.7380123734,10,dataset/collusion_300/english/1970/english_1970_03.wav,,native decoder bit marginal
