model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,23,chinese:SSB0038,2,8,63220,0,-6.00000000,1.94859685
wavmark,24,chinese:SSB0043,0,8,6615,0,-3.00000000,1.44222051
wavmark,24,chinese:SSB0043,0,8,8142,0,-4.00000000,1.60078106
wavmark,24,chinese:SSB0043,0,8,8403,0,-6.00000000,1.66627446
wavmark,24,chinese:SSB0043,0,8,10869,0,-5.00000000,1.88359900
wavmark,24,chinese:SSB0043,0,8,26241,0,-5.00000000,1.69512737
wavmark,24,chinese:SSB0043,0,8,42738,0,-3.00000000,1.32422789
wavmark,24,chinese:SSB0043,0,8,59480,0,-8.00000000,2.19124603
wavmark,24,chinese:SSB0043,0,8,64487,0,-6.00000000,1.76186454
wavmark,24,chinese:SSB0043,0,8,65030,0,-5.00000000,1.80310114
wavmark,24,chinese:SSB0043,0,8,65128,0,-6.00000000,1.94825535
wavmark,25,chinese:SSB0043,1,8,14493,0,-5.00000000,1.79555485
wavmark,25,chinese:SSB0043,1,8,19202,0,-9.00000000,1.85261244
wavmark,25,chinese:SSB0043,1,8,21179,0,-5.00000000,1.76726036
wavmark,25,chinese:SSB0043,1,8,27345,0,-6.00000000,1.83937144
wavmark,25,chinese:SSB0043,1,8,31452,0,-6.00000000,1.71459269
wavmark,25,chinese:SSB0043,1,8,46040,0,-3.00000000,1.77914693
wavmark,25,chinese:SSB0043,1,8,53525,0,-7.00000000,1.69192063
wavmark,25,chinese:SSB0043,1,8,53858,0,-10.00000000,1.96480664
wavmark,25,chinese:SSB0043,1,8,58145,0,-3.00000000,1.33170142
wavmark,25,chinese:SSB0043,1,8,63775,0,-3.00000000,1.44913767
wavmark,26,chinese:SSB0043,2,8,5757,0,-8.00000000,2.08064214
wavmark,26,chinese:SSB0043,2,8,6272,0,-2.00000000,1.31335273
wavmark,26,chinese:SSB0043,2,8,18335,0,-4.00000000,1.96364335
wavmark,26,chinese:SSB0043,2,8,18900,0,-6.00000000,1.86744021
wavmark,26,chinese:SSB0043,2,8,19469,0,-6.00000000,1.67394245
wavmark,26,chinese:SSB0043,2,8,24535,0,-3.00000000,1.72867777
wavmark,26,chinese:SSB0043,2,8,26493,0,-9.00000000,2.32115383
wavmark,26,chinese:SSB0043,2,8,33859,0,-5.00000000,1.72673613
wavmark,26,chinese:SSB0043,2,8,38122,0,-2.00000000,1.41421356
wavmark,26,chinese:SSB0043,2,8,54529,0,-4.00000000,1.58113883
wavmark,27,chinese:SSB0057,0,8,969,0,-6.00000000,1.91652731
wavmark,27,chinese:SSB0057,0,8,5151,0,-6.00000000,2.03748653
wavmark,27,chinese:SSB0057,0,8,22020,0,-8.00000000,1.81881302
wavmark,27,chinese:SSB0057,0,8,24090,0,-3.00000000,1.56774721
wavmark,27,chinese:SSB0057,0,8,26857,0,-4.00000000,1.39724917
wavmark,27,chinese:SSB0057,0,8,32905,0,-6.00000000,1.71053381
wavmark,27,chinese:SSB0057,0,8,33020,0,-5.00000000,1.82727868
wavmark,27,chinese:SSB0057,0,8,39883,0,-7.00000000,1.91254934
wavmark,27,chinese:SSB0057,0,8,47865,0,-3.00000000,1.23588438
wavmark,27,chinese:SSB0057,0,8,48309,0,-7.00000000,1.78832693
wavmark,28,chinese:SSB0057,1,8,3098,0,-3.00000000,1.48570423
