model,trial_id,base_payload,flipped_payload,weight_count,direct_path,has_other_payload,unique_payload_count,other_payload_count
audioseal,276,44478,44350,20,1,0,2,0
audioseal,277,43002,10234,20,1,0,2,0
audioseal,278,43715,60099,20,1,0,2,0
audioseal,279,13464,13720,20,1,0,2,0
audioseal,280,33510,742,20,1,0,2,0
audioseal,281,1123,33891,20,1,0,2,0
audioseal,282,19412,3028,20,1,0,2,0
audioseal,283,28083,27827,20,1,0,2,0
audioseal,284,20645,16549,20,1,0,2,0
audioseal,285,23844,22820,20,1,0,2,0
audioseal,286,53175,53174,20,1,0,2,0
audioseal,287,24823,24759,20,1,0,2,0
audioseal,288,52521,60713,20,1,0,2,0
audioseal,289,44383,44381,20,1,0,2,0
audioseal,290,17140,16628,20,1,0,2,0
audioseal,291,1331,5427,20,1,0,2,0
audioseal,292,19836,19964,20,1,0,2,0
audioseal,293,18789,19813,20,1,0,2,0
audioseal,294,44471,44467,20,1,0,2,0
audioseal,295,27427,27395,20,1,0,2,0
audioseal,296,57017,56505,20,1,0,2,0
audioseal,297,51101,50845,20,1,0,2,0
audioseal,298,42789,41765,20,1,0,2,0
audioseal,299,53376,20608,20,1,0,2,0
voicemark,0,49618,16850,20,0,1,4,2
voicemark,1,16742,16750,20,0,1,4,2
voicemark,2,60563,27795,20,0,1,3,1
voicemark,3,33400,41592,20,1,0,2,0
voicemark,4,1693,1949,20,0,1,3,1
voicemark,5,51263,51231,20,0,1,3,1
voicemark,6,44946,45010,20,0,1,3,1
voicemark,7,24814,25838,20,0,1,4,2
voicemark,8,38432,38440,20,1,0,2,0
voicemark,9,16173,15917,20,1,0,2,0
voicemark,10,5958,8006,20,1,0,2,0
voicemark,11,28758,12374,20,0,1,3,1
voicemark,12,24562,32754,20,0,1,3,1
voicemark,13,41827,41763,20,1,0,2,0
voicemark,14,6952,6953,20,1,0,2,0
voicemark,15,61373,59325,20,1,0,2,0
voicemark,16,18186,1802,20,0,1,3,1
voicemark,17,15248,15250,20,0,1,5,3
voicemark,18,10205,10207,20,0,1,3,1
voicemark,19,40333,48525,20,0,1,4,2
voicemark,20,63254,63286,20,0,1,3,1
voicemark,21,32274,30226,20,0,1,3,1
voicemark,22,22968,22712,20,0,1,3,1
voicemark,23,10687,10686,20,0,1,3,1
voicemark,24,9943,9975,20,0,1,3,1
voicemark,25,21302,22326,20,1,0,2,0
voicemark,26,60644,60652,20,0,1,3,1
voicemark,27,50441,34057,20,0,1,3,1
voicemark,28,56603,56347,20,0,1,3,1
voicemark,29,32488,24296,20,0,1,3,1
voicemark,30,34942,34938,20,0,1,3,1
voicemark,31,30025,30041,20,1,0,2,0
voicemark,32,22906,22907,20,0,1,3,1
voicemark,33,62403,64451,20,1,0,2,0
voicemark,34,61801,61805,20,0,1,3,1
voicemark,35,25922,17730,20,0,1,3,1
voicemark,36,24463,20367,20,1,0,2,0
voicemark,37,14583,14551,38,0,1,4,2
voicemark,38,45826,47874,20,1,0,2,0
voicemark,39,23026,24050,20,0,1,3,1
voicemark,40,44096,44098,20,0,1,3,1
voicemark,41,1599,17983,20,0,1,4,2
voicemark,42,35834,35832,38,0,1,4,2
voicemark,43,3291,19675,20,0,1,3,1
voicemark,44,17602,21698,20,1,0,2,0
voicemark,45,8047,8175,20,0,1,3,1
voicemark,46,63270,55078,20,0,1,3,1
voicemark,47,63202,30434,20,1,0,2,0
voicemark,48,36918,36916,20,0,1,3,1
voicemark,49,51745,51761,20,1,0,2,0
voicemark,50,16500,16508,20,0,1,3,1
voicemark,51,52558,56654,20,1,0,2,0
voicemark,52,65394,65362,20,0,1,4,2
voicemark,53,55140,55108,20,0,1,3,1
voicemark,54,13740,13756,20,0,1,3,1
voicemark,55,12670,12638,20,0,1,3,1
voicemark,56,5083,7131,20,1,0,2,0
voicemark,57,26286,26284,20,1,0,2,0
voicemark,58,63374,63390,38,0,1,4,2
voicemark,59,41478,41494,20,0,1,3,1
voicemark,60,3712,3776,20,0,1,3,1
voicemark,61,48881,48865,20,1,0,2,0
voicemark,62,23396,23412,20,1,0,2,0
voicemark,63,31513,31641,20,1,0,2,0
voicemark,64,4174,4166,20,0,1,3,1
voicemark,65,64360,65384,20,1,0,2,0
voicemark,66,27244,27240,20,0,1,3,1
voicemark,67,8034,8035,20,0,1,4,2
voicemark,68,63747,63755,20,0,1,3,1
voicemark,69,47092,47094,20,1,0,2,0
voicemark,70,63328,63296,20,0,1,3,1
voicemark,71,15347,13299,20,0,1,3,1
voicemark,72,20988,20984,20,0,1,3,1
voicemark,73,1181,1693,20,0,1,3,1
voicemark,74,26538,26506,20,0,1,4,2
voicemark,75,14533,15557,20,1,0,2,0
voicemark,76,35290,51674,20,0,1,3,1
voicemark,77,16156,14108,20,1,0,2,0
voicemark,78,40395,40387,20,0,1,5,3
voicemark,79,63233,63297,20,1,0,2,0
voicemark,80,146,16530,20,0,1,5,3
voicemark,81,48889,48857,20,0,1,3,1
voicemark,82,63660,59564,20,0,1,3,1
voicemark,83,65086,65070,20,0,1,3,1
voicemark,84,20030,19518,20,1,0,2,0
voicemark,85,13673,13609,20,1,0,2,0
voicemark,86,19301,27493,20,1,0,2,0
voicemark,87,43466,44490,20,1,0,2,0
voicemark,88,2881,2885,20,0,1,3,1
voicemark,89,49227,49355,20,0,1,3,1
voicemark,90,45949,45941,20,0,1,3,1
voicemark,91,64209,56017,20,1,0,2,0
voicemark,92,26960,26896,20,0,1,3,1
voicemark,93,4443,4441,38,0,1,4,2
voicemark,94,3713,1665,20,0,1,3,1
voicemark,95,30768,30776,20,1,0,2,0
voicemark,96,38167,38231,20,0,1,3,1
voicemark,97,63055,63047,20,0,1,3,1
voicemark,98,39038,39030,20,0,1,3,1
voicemark,99,46150,45126,20,0,1,3,1
voicemark,100,29094,28966,20,1,0,2,0
voicemark,101,41768,45864,20,0,1,3,1
voicemark,102,31444,23252,20,0,1,3,1
voicemark,103,6054,6055,20,0,1,3,1
voicemark,104,8241,9265,20,0,1,3,1
voicemark,105,64021,64149,20,1,0,2,0
voicemark,106,40148,40156,20,0,1,4,2
voicemark,107,37142,37654,20,1,0,2,0
voicemark,108,40346,56730,20,1,0,2,0
voicemark,109,29205,29201,20,0,1,3,1
voicemark,110,51773,55869,20,1,0,2,0
voicemark,111,25206,25204,20,1,0,2,0
voicemark,112,27985,26961,20,1,0,2,0
voicemark,113,45154,45155,20,0,1,3,1
voicemark,114,23493,23489,20,0,1,3,1
voicemark,115,38124,38092,20,0,1,3,1
voicemark,116,55993,55997,20,0,1,4,2
voicemark,117,48526,48590,20,0,1,3,1
voicemark,118,64741,64740,20,1,0,2,0
voicemark,119,40720,40728,20,0,1,3,1
voicemark,120,62666,62670,20,0,1,3,1
voicemark,121,59414,59412,20,1,0,2,0
voicemark,122,18057,18121,20,1,0,2,0
voicemark,123,55606,55670,20,0,1,3,1
voicemark,124,65378,65506,20,0,1,3,1
voicemark,125,6048,38816,20,1,0,2,0
voicemark,126,45658,12890,20,0,1,4,2
voicemark,127,15338,14826,20,1,0,2,0
voicemark,128,9327,9319,20,1,0,2,0
voicemark,129,25308,26332,20,0,1,3,1
voicemark,130,5303,5175,20,0,1,3,1
voicemark,131,35148,35149,20,0,1,3,1
voicemark,132,33774,33775,20,0,1,3,1
voicemark,133,56923,54875,20,0,1,3,1
voicemark,134,38810,38794,20,0,1,4,2
voicemark,135,53480,53482,20,0,1,3,1
voicemark,136,5630,5614,20,1,0,2,0
voicemark,137,37925,33829,20,0,1,3,1
voicemark,138,40998,41062,20,1,0,2,0
voicemark,139,15946,15938,20,0,1,3,1
voicemark,140,39215,40239,20,1,0,2,0
voicemark,141,50935,49911,20,0,1,3,1
voicemark,142,6274,6786,20,0,1,3,1
voicemark,143,46916,48964,20,1,0,2,0
voicemark,144,31771,31770,20,0,1,3,1
voicemark,145,34456,42648,20,1,0,2,0
voicemark,146,10600,26984,20,0,1,3,1
voicemark,147,27946,28074,20,1,0,2,0
voicemark,148,35843,44035,20,1,0,2,0
voicemark,149,19530,19562,20,0,1,6,4
voicemark,150,54171,55195,20,0,1,3,1
voicemark,151,31984,31856,20,1,0,2,0
voicemark,152,56873,57001,20,1,0,2,0
voicemark,153,4268,4780,20,0,1,3,1
voicemark,154,6445,6189,20,0,1,3,1
voicemark,155,5724,5716,20,0,1,3,1
voicemark,156,6388,6384,20,0,1,3,1
voicemark,157,5922,5926,20,0,1,3,1
voicemark,158,3923,3955,20,0,1,3,1
voicemark,159,35440,35448,20,1,0,2,0
voicemark,160,22318,22316,20,1,0,2,0
voicemark,161,12,28,20,0,1,4,2
voicemark,162,12656,12658,20,0,1,4,2
voicemark,163,11189,11191,20,1,0,2,0
voicemark,164,33587,37683,20,0,1,3,1
voicemark,165,53330,53458,20,1,0,2,0
voicemark,166,31961,31963,20,0,1,4,2
voicemark,167,26854,26855,20,1,0,2,0
voicemark,168,42567,9799,20,1,0,2,0
voicemark,169,48964,48980,20,1,0,2,0
voicemark,170,44316,44318,20,1,0,2,0
voicemark,171,56823,56759,20,0,1,3,1
voicemark,172,56813,54765,20,0,1,4,2
voicemark,173,18443,18507,20,1,0,2,0
voicemark,174,60452,58404,20,1,0,2,0
voicemark,175,54136,53880,20,1,0,2,0
voicemark,176,1216,33984,20,0,1,3,1
voicemark,177,20720,20704,20,1,0,2,0
voicemark,178,28562,20370,20,1,0,2,0
voicemark,179,13142,13138,20,0,1,3,1
voicemark,180,5782,1686,20,0,1,3,1
voicemark,181,34966,34962,20,0,1,3,1
voicemark,182,48250,48186,20,0,1,3,1
voicemark,183,54286,37902,20,1,0,2,0
voicemark,184,51095,50839,20,0,1,3,1
voicemark,185,33574,33590,20,1,0,2,0
voicemark,186,18681,19193,20,0,1,3,1
voicemark,187,34354,34482,20,0,1,3,1
voicemark,188,18342,51110,20,0,1,3,1
voicemark,189,32821,36917,20,0,1,3,1
voicemark,190,13291,13295,20,1,0,2,0
voicemark,191,12925,8829,20,1,0,2,0
voicemark,192,26207,9823,20,0,1,3,1
voicemark,193,3282,36050,20,0,1,3,1
voicemark,194,27137,25089,20,1,0,2,0
voicemark,195,20269,19757,20,1,0,2,0
voicemark,196,45324,37132,20,0,1,3,1
voicemark,197,44816,43792,20,1,0,2,0
voicemark,198,18626,18498,20,0,1,3,1
voicemark,199,2119,2135,20,1,0,2,0
voicemark,200,45255,45254,20,0,1,3,1
voicemark,201,21719,21751,20,0,1,3,1
voicemark,202,63806,63790,20,1,0,2,0
voicemark,203,62139,63163,20,0,1,3,1
voicemark,204,58258,58002,20,1,0,2,0
voicemark,205,62602,62634,20,0,1,3,1
voicemark,206,59431,59943,20,0,1,3,1
voicemark,207,29189,30213,20,0,1,4,2
voicemark,208,24193,20097,20,1,0,2,0
voicemark,209,56159,55647,20,1,0,2,0
voicemark,210,43873,43617,20,0,1,4,2
voicemark,211,58163,49971,20,0,1,3,1
voicemark,212,15931,15419,20,1,0,2,0
voicemark,213,35120,35248,20,0,1,4,2
voicemark,214,32965,49349,20,0,1,3,1
voicemark,215,20068,18020,20,0,1,3,1
voicemark,216,32773,40965,20,0,1,3,1
voicemark,217,12036,12100,20,1,0,2,0
voicemark,218,7703,24087,20,1,0,2,0
voicemark,219,43200,10432,20,0,1,4,2
voicemark,220,58821,58565,20,0,1,4,2
voicemark,221,41672,41676,20,0,1,3,1
voicemark,222,18878,19390,20,1,0,2,0
voicemark,223,43250,43234,20,1,0,2,0
voicemark,224,7629,7373,20,0,1,3,1
voicemark,225,60494,27726,20,0,1,3,1
voicemark,226,25513,27561,20,0,1,3,1
voicemark,227,15957,15956,20,1,0,2,0
voicemark,228,59405,59469,20,0,1,3,1
voicemark,229,19647,20159,20,0,1,3,1
voicemark,230,46028,13260,20,0,1,4,2
voicemark,231,2444,2446,20,1,0,2,0
voicemark,232,44656,44660,20,0,1,3,1
voicemark,233,57255,57271,20,0,1,3,1
voicemark,234,35394,34882,20,0,1,3,1
voicemark,235,9101,9103,20,1,0,2,0
voicemark,236,8697,8689,20,1,0,2,0
voicemark,237,17522,17526,20,0,1,3,1
voicemark,238,42231,42103,20,1,0,2,0
voicemark,239,38400,34304,20,0,1,3,1
voicemark,240,50429,50941,38,0,1,4,2
voicemark,241,27947,28011,20,1,0,2,0
voicemark,242,42010,42011,20,1,0,2,0
voicemark,243,25002,24746,20,0,1,3,1
voicemark,244,57173,57169,20,0,1,3,1
voicemark,245,7953,5905,20,1,0,2,0
voicemark,246,34670,34686,20,1,0,2,0
voicemark,247,24617,8233,20,0,1,3,1
voicemark,248,57888,61984,20,0,1,3,1
voicemark,249,10895,10383,20,0,1,3,1
voicemark,250,2510,6606,20,0,1,3,1
voicemark,251,1740,3788,20,0,1,3,1
voicemark,252,34885,35141,20,0,1,3,1
voicemark,253,11160,11192,20,0,1,3,1
voicemark,254,48560,48432,20,0,1,5,3
voicemark,255,21675,21931,20,0,1,3,1
voicemark,256,34045,34044,20,0,1,4,2
voicemark,257,15395,15459,20,1,0,2,0
voicemark,258,16666,17178,20,0,1,3,1
voicemark,259,22684,22685,20,0,1,3,1
voicemark,260,65109,32341,20,1,0,2,0
voicemark,261,11435,44203,20,0,1,3,1
voicemark,262,63351,59255,20,0,1,3,1
voicemark,263,8138,8170,20,1,0,2,0
voicemark,264,61307,61299,20,0,1,3,1
voicemark,265,62190,53998,20,0,1,3,1
voicemark,266,56215,56247,20,0,1,3,1
voicemark,267,15448,15704,20,0,1,3,1
voicemark,268,51334,51206,20,1,0,2,0
voicemark,269,33329,49713,20,0,1,3,1
voicemark,270,24337,24336,20,1,0,2,0
voicemark,271,25376,8992,20,0,1,3,1
voicemark,272,12424,12680,20,0,1,3,1
voicemark,273,65429,57237,20,1,0,2,0
voicemark,274,4885,4884,20,1,0,2,0
voicemark,275,46300,48348,20,1,0,2,0
voicemark,276,44478,44350,20,0,1,3,1
voicemark,277,43002,10234,20,1,0,2,0
voicemark,278,43715,60099,20,0,1,3,1
voicemark,279,13464,13720,20,0,1,3,1
voicemark,280,33510,742,20,0,1,3,1
voicemark,281,1123,33891,20,0,1,3,1
voicemark,282,19412,3028,20,0,1,3,1
voicemark,283,28083,27827,20,0,1,3,1
voicemark,284,20645,16549,20,1,0,2,0
voicemark,285,23844,22820,20,1,0,2,0
voicemark,286,53175,53174,20,1,0,2,0
voicemark,287,24823,24759,20,0,1,3,1
voicemark,288,52521,60713,20,0,1,3,1
voicemark,289,44383,44381,20,1,0,2,0
voicemark,290,17140,16628,20,0,1,3,1
voicemark,291,1331,5427,20,0,1,3,1
voicemark,292,19836,19964,20,1,0,2,0
voicemark,293,18789,19813,20,1,0,2,0
voicemark,294,44471,44467,20,1,0,2,0
voicemark,295,27427,27395,20,1,0,2,0
voicemark,296,57017,56505,20,1,0,2,0
voicemark,297,51101,50845,20,0,1,3,1
voicemark,298,48178,47154,20,1,0,2,0
voicemark,299,53376,20608,20,1,0,2,0
