model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,shift_ms,shifted_colluder_index,escaped,attribution_margin,pesq,stoi,si_sdr,snr
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,"[19797, 60473, 14935, 5958, 26649]",-50,0,1,1.86588192,2.440484,0.972579,12.119203,11.151667
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,"[19797, 60473, 14935, 5958, 26649]",-20,0,1,2.21820688,3.578804,0.975829,11.775147,10.292094
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,"[19797, 60473, 14935, 5958, 26649]",-10,0,1,2.16088629,4.320869,0.981991,12.062076,11.054807
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,"[19797, 60473, 14935, 5958, 26649]",0,-1,1,2.27486753,4.605318,0.999779,35.442166,35.440002
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,"[19797, 60473, 14935, 5958, 26649]",10,0,1,2.29968405,4.447815,0.98265,12.069457,11.058596
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,"[19797, 60473, 14935, 5958, 26649]",20,0,1,2.34134054,4.272225,0.977204,11.778558,10.293519
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,"[19797, 60473, 14935, 5958, 26649]",50,0,1,1.52671337,3.183218,0.973455,12.112672,11.148248
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,"[27090, 28759, 51911, 24328, 25257]",-50,1,1,2.55941534,2.548194,0.975227,12.065417,11.071006
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,"[27090, 28759, 51911, 24328, 25257]",-20,1,1,1.21716022,3.568182,0.978828,11.90698,10.747819
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,"[27090, 28759, 51911, 24328, 25257]",-10,1,1,4.11945486,4.241116,0.983644,11.988966,10.920191
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,"[27090, 28759, 51911, 24328, 25257]",0,-1,1,1.46735954,4.596736,0.999775,33.208147,33.20939
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,"[27090, 28759, 51911, 24328, 25257]",10,1,1,3.95989227,4.49004,0.984192,11.991281,10.919508
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,"[27090, 28759, 51911, 24328, 25257]",20,1,1,1.90787697,4.239181,0.980163,11.901997,10.744991
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,"[27090, 28759, 51911, 24328, 25257]",50,1,1,3.79622221,3.567049,0.975549,12.066795,11.071324
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,"[5637, 45756, 6685, 24562, 19024]",-50,2,1,1.68451881,2.269629,0.976208,11.936857,10.839456
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,"[5637, 45756, 6685, 24562, 19024]",-20,2,1,1.63656044,3.216137,0.981237,12.305709,11.477102
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,"[5637, 45756, 6685, 24562, 19024]",-10,2,1,2.12671709,4.051172,0.98468,11.766835,10.380557
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,"[5637, 45756, 6685, 24562, 19024]",0,-1,1,1.74359941,4.548034,0.998553,32.038498,32.039405
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,"[5637, 45756, 6685, 24562, 19024]",10,2,1,2.11214018,4.379473,0.985013,11.774859,10.384005
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,"[5637, 45756, 6685, 24562, 19024]",20,2,1,0.32920456,4.08729,0.982152,12.323213,11.48706
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,"[5637, 45756, 6685, 24562, 19024]",50,2,1,1.81090403,3.251534,0.976963,11.991603,10.866479
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,"[50807, 18454, 4248, 64416, 41827]",-50,3,1,4.20484829,2.136612,0.975762,11.963081,10.898731
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,"[50807, 18454, 4248, 64416, 41827]",-20,3,1,4.80913115,3.347657,0.981268,12.224383,11.359554
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,"[50807, 18454, 4248, 64416, 41827]",-10,3,1,3.75272989,4.036982,0.984074,11.840728,10.620312
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,"[50807, 18454, 4248, 64416, 41827]",0,-1,1,5.35194969,4.526735,0.998729,30.570995,30.575131
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,"[50807, 18454, 4248, 64416, 41827]",10,3,1,4.11651564,4.283157,0.984483,11.844754,10.621926
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,"[50807, 18454, 4248, 64416, 41827]",20,3,1,5.10989761,4.093856,0.981316,12.230016,11.362647
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,"[50807, 18454, 4248, 64416, 41827]",50,3,1,3.60921049,3.203251,0.977953,11.970444,10.901834
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,"[38396, 40386, 37781, 6952, 60611]",-50,4,1,2.27987766,2.180682,0.97424,12.094087,11.116024
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,"[38396, 40386, 37781, 6952, 60611]",-20,4,1,2.6717205,3.300549,0.978378,12.414733,11.641442
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,"[38396, 40386, 37781, 6952, 60611]",-10,4,1,2.76018381,4.134469,0.983802,12.087862,11.10775
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,"[38396, 40386, 37781, 6952, 60611]",0,-1,1,2.64074039,4.540094,0.997362,33.041812,33.04553
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,"[38396, 40386, 37781, 6952, 60611]",10,4,1,2.89328861,4.411932,0.983891,12.101569,11.115299
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,"[38396, 40386, 37781, 6952, 60611]",20,4,1,2.91190004,4.016366,0.979364,12.441915,11.657723
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,"[38396, 40386, 37781, 6952, 60611]",50,4,1,2.7925539,3.228532,0.975709,12.148884,11.144141
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,"[24377, 34032, 53557, 61374, 29823]",-50,0,1,2.5757494,1.919597,0.972835,11.920208,10.77805
