model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,reference_payload,published_pesq,published_stoi,published_si_sdr,recomputed_si_sdr,snr,si_sdr_abs_error,visqol,si_sdr_for_table
timbrewm,8,136,chinese:SSB0393,2,dataset/collusion_300/chinese/SSB0393/chinese_SSB0393_02.wav,"[34, 73, 152, 271, 534, 597, 803, 872]",34,4.519460678100586,0.9964564529240671,,31.128868,31.131308,,4.67923877,31.128868
timbrewm,8,137,chinese:SSB0393,3,dataset/collusion_300/chinese/SSB0393/chinese_SSB0393_03.wav,"[77, 313, 447, 739, 759, 793, 800, 876]",77,4.520976066589356,0.9974419900810236,,31.902566,31.905366,,4.73841284,31.902566
timbrewm,8,138,chinese:SSB0394,1,dataset/collusion_300/chinese/SSB0394/chinese_SSB0394_01.wav,"[280, 402, 536, 799, 855, 900, 956, 1005]",280,4.545823574066162,0.9899693396895964,,32.613,32.61526,,4.62517403,32.613
timbrewm,8,139,chinese:SSB0394,2,dataset/collusion_300/chinese/SSB0394/chinese_SSB0394_02.wav,"[107, 132, 227, 355, 406, 718, 758, 888]",107,4.556370735168457,0.9946993279236792,,29.074364,29.078956,,4.61961565,29.074364
timbrewm,8,140,chinese:SSB0394,3,dataset/collusion_300/chinese/SSB0394/chinese_SSB0394_03.wav,"[116, 139, 271, 597, 708, 711, 785, 1023]",116,4.550914287567139,0.9914031181625096,,31.872998,31.875799,,4.30107127,31.872998
timbrewm,8,141,chinese:SSB0395,1,dataset/collusion_300/chinese/SSB0395/chinese_SSB0395_01.wav,"[215, 257, 419, 533, 692, 789, 791, 816]",215,4.438290596008301,0.9921589399866658,,28.744905,28.749163,,4.41743334,28.744905
timbrewm,8,142,chinese:SSB0395,2,dataset/collusion_300/chinese/SSB0395/chinese_SSB0395_02.wav,"[137, 183, 295, 402, 633, 820, 887, 920]",137,4.549281597137451,0.9949122547085576,,31.028847,31.032071,,4.58684659,31.028847
timbrewm,8,143,chinese:SSB0395,3,dataset/collusion_300/chinese/SSB0395/chinese_SSB0395_03.wav,"[22, 239, 348, 854, 901, 923, 1018, 1020]",22,4.475753307342529,0.9933475645733906,,28.609374,28.615147,,4.60622761,28.609374
timbrewm,8,144,chinese:SSB0407,1,dataset/collusion_300/chinese/SSB0407/chinese_SSB0407_01.wav,"[32, 127, 205, 440, 482, 757, 758, 977]",32,4.532375335693359,0.9918207601763492,,31.098195,31.101494,,4.36340933,31.098195
timbrewm,8,145,chinese:SSB0407,2,dataset/collusion_300/chinese/SSB0407/chinese_SSB0407_02.wav,"[40, 100, 139, 585, 665, 693, 897, 922]",40,4.538215637207031,0.9916147152012308,,31.060231,31.062184,,4.59116156,31.060231
timbrewm,8,146,chinese:SSB0407,3,dataset/collusion_300/chinese/SSB0407/chinese_SSB0407_03.wav,"[269, 312, 580, 645, 711, 732, 937, 952]",269,4.544683933258057,0.9953980239798365,,32.511499,32.513832,,4.53080876,32.511499
timbrewm,8,147,chinese:SSB0415,1,dataset/collusion_300/chinese/SSB0415/chinese_SSB0415_01.wav,"[28, 167, 550, 651, 684, 725, 810, 892]",28,4.555056095123291,0.9965465022444606,,32.691609,32.692954,,4.4956777,32.691609
timbrewm,8,148,chinese:SSB0415,2,dataset/collusion_300/chinese/SSB0415/chinese_SSB0415_02.wav,"[63, 166, 284, 400, 508, 776, 926, 963]",63,4.526540756225586,0.9939889789331374,,33.242274,33.2443,,4.61217184,33.242274
timbrewm,8,149,chinese:SSB0415,3,dataset/collusion_300/chinese/SSB0415/chinese_SSB0415_03.wav,"[104, 185, 213, 247, 399, 677, 918, 946]",104,4.407857894897461,0.9927450538245276,,27.966262,27.973131,,4.5588783,27.966262
timbrewm,8,150,english:103,1,dataset/collusion_300/english/103/english_103_01.wav,"[36, 48, 224, 329, 776, 789, 802, 978]",36,4.560546398162842,0.9947003644663068,,28.650566,28.655146,,4.73364312,28.650566
