model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
timbrewm,5,13,chinese:SSB0122,0,mean,0,-1,1,0.30235243,4.5511,0.9987
timbrewm,5,13,chinese:SSB0122,0,fwp,0,-1,1,0.32217216,4.4946,0.9982
timbrewm,5,13,chinese:SSB0122,0,mean,-10,3,1,0.20128870,4.1985,0.9850
timbrewm,5,13,chinese:SSB0122,0,fwp,-10,3,1,0.42328644,2.6623,0.8801
timbrewm,5,13,chinese:SSB0122,0,mean,10,3,1,0.16442871,4.3435,0.9847
timbrewm,5,13,chinese:SSB0122,0,fwp,10,3,1,0.54733944,2.5149,0.8836
timbrewm,5,13,chinese:SSB0122,0,mean,-20,3,1,0.16800213,3.2265,0.9808
timbrewm,5,13,chinese:SSB0122,0,fwp,-20,3,1,0.18399382,1.6567,0.8110
timbrewm,5,13,chinese:SSB0122,0,mean,20,3,1,0.13673067,3.8733,0.9812
timbrewm,5,13,chinese:SSB0122,0,fwp,20,3,1,0.39443970,1.6621,0.8061
timbrewm,5,13,chinese:SSB0122,0,mean,-50,3,1,0.27587271,2.0830,0.9743
timbrewm,5,13,chinese:SSB0122,0,fwp,-50,3,1,0.24266529,1.2450,0.7463
timbrewm,5,13,chinese:SSB0122,0,mean,50,3,1,0.14176941,2.6485,0.9753
timbrewm,5,13,chinese:SSB0122,0,fwp,50,3,1,0.48506641,1.2501,0.7097
timbrewm,5,14,chinese:SSB0133,0,mean,0,-1,1,0.14353561,4.4936,0.9942
timbrewm,5,14,chinese:SSB0133,0,fwp,0,-1,1,0.35854244,4.5621,0.9966
timbrewm,5,14,chinese:SSB0133,0,mean,-10,4,1,0.18430614,3.9761,0.9802
timbrewm,5,14,chinese:SSB0133,0,fwp,-10,4,1,0.21183348,1.7827,0.8605
timbrewm,5,14,chinese:SSB0133,0,mean,10,4,1,0.20825100,4.2810,0.9802
timbrewm,5,14,chinese:SSB0133,0,fwp,10,4,1,0.02974129,1.7627,0.8531
timbrewm,5,14,chinese:SSB0133,0,mean,-20,4,1,0.11258030,3.2430,0.9771
timbrewm,5,14,chinese:SSB0133,0,fwp,-20,4,1,0.12887430,1.7302,0.8418
timbrewm,5,14,chinese:SSB0133,0,mean,20,4,1,0.12452507,3.7316,0.9786
timbrewm,5,14,chinese:SSB0133,0,fwp,20,4,1,0.01896667,1.7174,0.8481
timbrewm,5,14,chinese:SSB0133,0,mean,-50,4,1,0.22227573,2.1746,0.9715
timbrewm,5,14,chinese:SSB0133,0,fwp,-50,4,1,0.17223930,1.3258,0.7802
timbrewm,5,14,chinese:SSB0133,0,mean,50,4,1,0.25217152,2.8273,0.9743
timbrewm,5,14,chinese:SSB0133,0,fwp,50,4,0,-0.00424623,1.3162,0.7605
timbrewm,5,15,chinese:SSB0139,0,mean,0,-1,1,0.41881418,4.5915,0.9990
timbrewm,5,15,chinese:SSB0139,0,fwp,0,-1,1,0.17753744,4.5356,0.9984
timbrewm,5,15,chinese:SSB0139,0,mean,-10,0,1,0.22288990,4.1244,0.9833
timbrewm,5,15,chinese:SSB0139,0,fwp,-10,0,1,0.05710745,2.0767,0.8340
timbrewm,5,15,chinese:SSB0139,0,mean,10,0,1,0.16931820,4.3311,0.9834
timbrewm,5,15,chinese:SSB0139,0,fwp,10,0,1,0.07973051,2.0519,0.8422
timbrewm,5,15,chinese:SSB0139,0,mean,-20,0,1,0.25251055,3.3225,0.9804
timbrewm,5,15,chinese:SSB0139,0,fwp,-20,0,0,-0.03638363,1.7125,0.8461
timbrewm,5,15,chinese:SSB0139,0,mean,20,0,1,0.14627171,3.8465,0.9817
timbrewm,5,15,chinese:SSB0139,0,fwp,20,0,1,0.04388189,1.7072,0.8485
timbrewm,5,15,chinese:SSB0139,0,mean,-50,0,1,0.34040785,2.3620,0.9729
