model,K,spk,local_t,gi,restart,start_id,objective,weights
timbrewm,8,chinese:SSB0016,0,4,1,3,0.0000004581,0.00000000;0.14895627;0.20607228;0.09140165;0.10066158;0.19096912;0.24596181;0.01597728
timbrewm,8,chinese:SSB0016,0,4,1,4,0.0000004610,0.00000000;0.18178247;0.25950374;0.02335079;0.00000000;0.25950470;0.26723307;0.00862522
timbrewm,8,chinese:SSB0016,0,4,1,5,0.0000004555,0.00000000;0.17989944;0.16770731;0.08330730;0.09448759;0.17145294;0.20600132;0.09714409
timbrewm,8,chinese:SSB0016,0,4,1,6,0.0000004574,0.00000000;0.20267934;0.25881078;0.03242774;0.05741493;0.19392485;0.21391676;0.04082559
timbrewm,8,chinese:SSB0016,0,4,2,0,0.0000004562,0.00000000;0.19636061;0.14629562;0.10118132;0.10079406;0.18343223;0.21468640;0.05724975
timbrewm,8,chinese:SSB0016,0,4,2,1,0.0000004611,0.00000000;0.09415497;0.17642704;0.12034319;0.00000000;0.30453754;0.30453726;0.00000001
timbrewm,8,chinese:SSB0016,0,4,2,2,0.0000004600,0.00000000;0.14179880;0.18006626;0.11441341;0.06416388;0.23677859;0.25659618;0.00618288
timbrewm,8,chinese:SSB0016,0,4,2,3,0.0000004617,0.00000000;0.17819902;0.18926867;0.05275208;0.05612130;0.25079046;0.27286841;0.00000007
timbrewm,8,chinese:SSB0016,0,4,2,4,0.0000004594,0.00000000;0.19180472;0.20847101;0.05260528;0.09085944;0.19599757;0.23460101;0.02566097
timbrewm,8,chinese:SSB0016,0,4,2,5,0.0000004593,0.00000000;0.20795780;0.17019232;0.07514405;0.05136685;0.20910517;0.23504081;0.05119299
timbrewm,8,chinese:SSB0016,0,4,2,6,0.0000004534,0.00000000;0.16181481;0.15169631;0.08471679;0.14343691;0.14291688;0.24303579;0.07238251
timbrewm,8,chinese:SSB0016,0,4,3,0,0.0000004562,0.00000000;0.19636061;0.14629562;0.10118132;0.10079406;0.18343223;0.21468640;0.05724975
timbrewm,8,chinese:SSB0016,0,4,3,1,0.0000004611,0.00000000;0.09415497;0.17642704;0.12034319;0.00000000;0.30453754;0.30453726;0.00000001
timbrewm,8,chinese:SSB0016,0,4,3,2,0.0000004594,0.00000000;0.19180472;0.20847101;0.05260528;0.09085944;0.19599757;0.23460101;0.02566097
timbrewm,8,chinese:SSB0016,0,4,3,3,0.0000004616,0.00000000;0.20029693;0.20198726;0.04986622;0.03102647;0.25230045;0.21254169;0.05198097
timbrewm,8,chinese:SSB0016,0,4,3,4,0.0000004586,0.00000000;0.20972961;0.14224394;0.07071060;0.07937586;0.22787422;0.24917521;0.02089056
timbrewm,8,chinese:SSB0016,0,4,3,5,0.0000004608,0.00000000;0.19023046;0.18554717;0.07734426;0.01811904;0.24553555;0.20815755;0.07506597
timbrewm,8,chinese:SSB0016,0,4,3,6,0.0000004589,0.00000000;0.17971852;0.21636931;0.02444330;0.08773771;0.20692905;0.28242093;0.00238119
