model,K,spk,local_t,gi,restart,start_id,objective,weights
voicemark,8,chinese:SSB0011,0,2,1,2,0.0000730916,0.19191889;0.25828324;0.10543412;0.27933092;0.00000000;0.00000000;0.07772671;0.08730612
voicemark,8,chinese:SSB0011,0,2,1,3,0.0000730915,0.19121856;0.25832092;0.10620214;0.27942018;0.00000000;0.00000000;0.07769123;0.08714696
voicemark,8,chinese:SSB0011,0,2,1,4,0.0000730916,0.19191888;0.25828324;0.10543413;0.27933092;0.00000000;0.00000000;0.07772671;0.08730612
voicemark,8,chinese:SSB0011,0,2,1,5,0.0000730916,0.19191813;0.25828308;0.10543515;0.27933123;0.00000000;0.00000000;0.07772640;0.08730601
voicemark,8,chinese:SSB0011,0,2,1,6,0.0000730915,0.19108013;0.25826062;0.10642947;0.27973574;0.00000000;0.00000000;0.07731178;0.08718225
voicemark,8,chinese:SSB0011,0,2,2,0,0.0000730915,0.19126468;0.25829746;0.10617175;0.27954575;0.00000000;0.00000000;0.07752522;0.08719515
voicemark,8,chinese:SSB0011,0,2,2,1,0.0000730916,0.19191888;0.25828322;0.10543415;0.27933093;0.00000000;0.00000000;0.07772671;0.08730611
voicemark,8,chinese:SSB0011,0,2,2,2,0.0000730916,0.19191888;0.25828322;0.10543415;0.27933093;0.00000000;0.00000000;0.07772671;0.08730611
voicemark,8,chinese:SSB0011,0,2,2,3,0.0000730916,0.19191889;0.25828324;0.10543412;0.27933092;0.00000000;0.00000000;0.07772671;0.08730612
voicemark,8,chinese:SSB0011,0,2,2,4,0.0000730916,0.19159106;0.25826398;0.10586670;0.27936318;0.00000000;0.00000000;0.07778035;0.08713473
voicemark,8,chinese:SSB0011,0,2,2,5,0.0000730916,0.19192233;0.25828205;0.10543016;0.27933236;0.00000000;0.00000000;0.07772131;0.08731179
voicemark,8,chinese:SSB0011,0,2,2,6,0.0000730916,0.19198857;0.25828287;0.10542322;0.27943785;0.00000000;0.00000000;0.07773112;0.08713636
voicemark,8,chinese:SSB0011,0,2,3,0,0.0000730915,0.19126468;0.25829746;0.10617175;0.27954575;0.00000000;0.00000000;0.07752522;0.08719515
