model,K,spk,local_t,gi,restart,start_id,objective,weights
wavmark,8,chinese:SSB0011,0,2,0,6,0.0000000863,0.22518059;0.05196115;0.22518085;0.15203605;0.09333524;0.21090137;0.01731235;0.02409239
wavmark,8,chinese:SSB0011,0,2,1,0,0.0000000859,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0011,0,2,1,1,0.0000000686,0.00000000;0.00000000;0.50000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0011,0,2,1,2,0.0000000848,0.04660118;0.22476653;0.29313873;0.20865943;0.01817468;0.00000004;0.20865937;0.00000004
wavmark,8,chinese:SSB0011,0,2,1,3,0.0000000835,0.11786010;0.25178256;0.24423986;0.06043641;0.16284045;0.00000005;0.16284055;0.00000001
wavmark,8,chinese:SSB0011,0,2,1,4,0.0000000899,0.12105939;0.21754331;0.18972250;0.14767260;0.03906689;0.16387576;0.00000000;0.12105954
wavmark,8,chinese:SSB0011,0,2,1,5,0.0000000868,0.02053082;0.31748573;0.20857509;0.11634686;0.00000000;0.03495900;0.15105120;0.15105130
wavmark,8,chinese:SSB0011,0,2,1,6,0.0000000887,0.08758561;0.23108617;0.24048179;0.00000004;0.00000000;0.23108617;0.06135151;0.14840871
wavmark,8,chinese:SSB0011,0,2,2,0,0.0000000859,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0011,0,2,2,1,0.0000000686,0.00000000;0.00000000;0.50000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0011,0,2,2,2,0.0000000875,0.16234034;0.09795144;0.30529417;0.16234052;0.11289091;0.07298649;0.00000000;0.08619612
wavmark,8,chinese:SSB0011,0,2,2,3,0.0000000848,0.04660118;0.22476653;0.29313873;0.20865943;0.01817468;0.00000004;0.20865937;0.00000004
wavmark,8,chinese:SSB0011,0,2,2,4,0.0000000850,0.24980677;0.17742947;0.29498985;0.00000005;0.01502063;0.24980705;0.00000001;0.01294617
wavmark,8,chinese:SSB0011,0,2,2,5,0.0000000899,0.00000002;0.18041987;0.23433623;0.20695153;0.00000000;0.14395629;0.00000000;0.23433606
wavmark,8,chinese:SSB0011,0,2,2,6,0.0000000872,0.12124966;0.25316040;0.21885093;0.06993614;0.09685653;0.11869662;0.12124970;0.00000002
wavmark,8,chinese:SSB0011,0,2,3,0,0.0000000859,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0011,0,2,3,1,0.0000000686,0.00000000;0.00000000;0.50000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0011,0,2,3,2,0.0000000848,0.19094459;0.16252031;0.26926762;0.00000008;0.18341714;0.18341741;0.00000001;0.01043284
wavmark,8,chinese:SSB0011,0,2,3,3,0.0000000896,0.00000002;0.23895400;0.23895406;0.11483986;0.01052358;0.16290980;0.10802598;0.12579269
wavmark,8,chinese:SSB0011,0,2,3,4,0.0000000889,0.06712546;0.24635448;0.24581738;0.01614868;0.00000000;0.21227704;0.00000000;0.21227695
wavmark,8,chinese:SSB0011,0,2,3,5,0.0000000835,0.11786010;0.25178256;0.24423986;0.06043641;0.16284045;0.00000005;0.16284055;0.00000001
wavmark,8,chinese:SSB0011,0,2,3,6,0.0000000875,0.00528649;0.20930877;0.28505411;0.25017530;0.00000000;0.00000005;0.00000000;0.25017528
wavmark,8,chinese:SSB0012,0,3,0,0,0.0000002839,0.16198248;0.08658147;0.18236085;0.06299894;0.06825756;0.05148552;0.18493482;0.20139836
wavmark,8,chinese:SSB0012,0,3,0,1,0.0000002803,0.00000007;0.06357431;0.27011730;0.07095782;0.14819458;0.00000001;0.17703907;0.27011685
wavmark,8,chinese:SSB0012,0,3,0,2,0.0000002765,0.24016532;0.11191825;0.08334361;0.00466410;0.00000000;0.21791332;0.24016555;0.10182985
wavmark,8,chinese:SSB0012,0,3,0,3,0.0000002830,0.08210452;0.05588374;0.25947847;0.08388855;0.11159756;0.00000002;0.16388413;0.24316302
wavmark,8,chinese:SSB0012,0,3,0,4,0.0000002815,0.17949387;0.15776543;0.16637632;0.03672643;0.01794386;0.07529991;0.14429120;0.22210299
