model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
audioseal,3,117,chinese:SSB0366,1,dataset/collusion_300/chinese/SSB0366/chinese_SSB0366_01.wav,3,3,uniform,1,13,0.8125,4.5637,0.9992,32.20
audioseal,3,118,chinese:SSB0366,2,dataset/collusion_300/chinese/SSB0366/chinese_SSB0366_02.wav,3,3,uniform,1,14,0.8750,4.5703,0.9992,32.14
audioseal,3,119,chinese:SSB0366,3,dataset/collusion_300/chinese/SSB0366/chinese_SSB0366_03.wav,3,3,uniform,1,13,0.8125,4.5733,0.9994,30.09
audioseal,3,120,chinese:SSB0375,1,dataset/collusion_300/chinese/SSB0375/chinese_SSB0375_01.wav,3,3,uniform,1,13,0.8125,4.6018,0.9997,33.58
audioseal,3,121,chinese:SSB0375,2,dataset/collusion_300/chinese/SSB0375/chinese_SSB0375_02.wav,3,3,uniform,1,13,0.8125,4.6068,0.9998,34.24
audioseal,3,122,chinese:SSB0375,3,dataset/collusion_300/chinese/SSB0375/chinese_SSB0375_03.wav,3,3,uniform,1,13,0.8125,4.5736,0.9997,30.99
audioseal,3,123,chinese:SSB0379,1,dataset/collusion_300/chinese/SSB0379/chinese_SSB0379_01.wav,3,3,uniform,1,12,0.7500,4.5816,0.9995,32.62
audioseal,3,124,chinese:SSB0379,2,dataset/collusion_300/chinese/SSB0379/chinese_SSB0379_02.wav,3,3,uniform,1,13,0.8125,4.5942,0.9998,33.19
audioseal,3,125,chinese:SSB0379,3,dataset/collusion_300/chinese/SSB0379/chinese_SSB0379_03.wav,3,3,uniform,1,15,0.9375,4.5941,0.9993,33.59
audioseal,3,126,chinese:SSB0380,1,dataset/collusion_300/chinese/SSB0380/chinese_SSB0380_01.wav,3,3,uniform,1,12,0.7500,4.5766,0.9995,30.09
audioseal,3,127,chinese:SSB0380,2,dataset/collusion_300/chinese/SSB0380/chinese_SSB0380_02.wav,3,3,uniform,0,16,1.0000,4.5854,0.9997,31.04
audioseal,3,128,chinese:SSB0380,3,dataset/collusion_300/chinese/SSB0380/chinese_SSB0380_03.wav,3,3,uniform,1,13,0.8125,4.5797,0.9996,31.27
audioseal,3,129,chinese:SSB0382,1,dataset/collusion_300/chinese/SSB0382/chinese_SSB0382_01.wav,3,3,uniform,0,16,1.0000,4.6042,0.9996,31.57
audioseal,3,130,chinese:SSB0382,2,dataset/collusion_300/chinese/SSB0382/chinese_SSB0382_02.wav,3,3,uniform,1,13,0.8125,4.5990,0.9994,33.47
audioseal,3,131,chinese:SSB0382,3,dataset/collusion_300/chinese/SSB0382/chinese_SSB0382_03.wav,3,3,uniform,1,14,0.8750,4.6055,0.9999,33.71
audioseal,3,132,chinese:SSB0385,1,dataset/collusion_300/chinese/SSB0385/chinese_SSB0385_01.wav,3,3,uniform,1,14,0.8750,4.6013,0.9998,36.67
audioseal,3,133,chinese:SSB0385,2,dataset/collusion_300/chinese/SSB0385/chinese_SSB0385_02.wav,3,3,uniform,0,16,1.0000,4.5829,0.9994,31.35
audioseal,3,134,chinese:SSB0385,3,dataset/collusion_300/chinese/SSB0385/chinese_SSB0385_03.wav,3,3,uniform,1,12,0.7500,4.5885,0.9993,34.10
audioseal,3,135,chinese:SSB0393,1,dataset/collusion_300/chinese/SSB0393/chinese_SSB0393_01.wav,3,3,uniform,1,12,0.7500,4.5659,0.9990,35.50
audioseal,3,136,chinese:SSB0393,2,dataset/collusion_300/chinese/SSB0393/chinese_SSB0393_02.wav,3,3,uniform,1,12,0.7500,4.5773,0.9992,33.20
