model,k,trial_id,speaker,clip_index,source_path,sample_rate,coalition_payloads,codec,codec_setting,valid_post_codec_copy_count,all_post_codec_copies_valid,escaped,attribution_margin,pesq,stoi,si_sdr,snr
audioseal,5,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,16000,"[10206, 4248, 38463, 22468, 37089]",mp3_128k,MP3 128 kbps,5,1,1,3.60705376,4.406244,0.999517,31.321615,24.900954
audioseal,5,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,16000,"[10206, 4248, 38463, 22468, 37089]",none,none,5,1,1,3.69008732,4.58127,0.999521,39.972658,39.973112
audioseal,5,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,16000,"[10206, 4248, 38463, 22468, 37089]",opus_64k,Opus 64 kbps,5,1,1,3.52446556,4.567699,0.999279,29.001813,28.981692
audioseal,5,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,16000,"[10042, 781, 9460, 40334, 35213]",mp3_128k,MP3 128 kbps,5,1,1,4.49725199,4.420781,0.999473,32.77994,25.183041
audioseal,5,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,16000,"[10042, 781, 9460, 40334, 35213]",none,none,5,1,1,4.50210238,4.573635,0.999479,38.881395,38.881951
audioseal,5,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,16000,"[10042, 781, 9460, 40334, 35213]",opus_64k,Opus 64 kbps,5,1,1,4.46824932,4.553062,0.999237,28.180963,28.153299
audioseal,5,20,chinese:SSB0033,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,16000,"[43998, 24749, 53934, 24947, 63254]",mp3_128k,MP3 128 kbps,5,1,1,2.85992908,4.39026,0.999599,28.531007,24.086816
audioseal,5,20,chinese:SSB0033,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,16000,"[43998, 24749, 53934, 24947, 63254]",none,none,5,1,1,2.70593834,4.584857,0.999608,38.207001,38.207192
audioseal,5,20,chinese:SSB0033,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,16000,"[43998, 24749, 53934, 24947, 63254]",opus_64k,Opus 64 kbps,5,1,1,2.77961874,4.56187,0.999377,30.914169,30.810317
audioseal,5,21,chinese:SSB0038,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,16000,"[29218, 48361, 50062, 32274, 38526]",mp3_128k,MP3 128 kbps,5,1,1,2.01736546,4.34292,0.999056,24.248801,22.05127
audioseal,5,21,chinese:SSB0038,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,16000,"[29218, 48361, 50062, 32274, 38526]",none,none,5,1,1,1.92634773,4.585634,0.999059,36.417142,36.418157
audioseal,5,21,chinese:SSB0038,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,16000,"[29218, 48361, 50062, 32274, 38526]",opus_64k,Opus 64 kbps,5,1,1,1.8786006,4.527558,0.998782,29.097306,28.978849
audioseal,5,22,chinese:SSB0038,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,16000,"[27346, 22969, 56969, 42435, 1013]",mp3_128k,MP3 128 kbps,5,1,1,2.90223312,4.305977,0.999244,23.495013,21.599708
audioseal,5,22,chinese:SSB0038,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,16000,"[27346, 22969, 56969, 42435, 1013]",none,none,5,1,1,2.65647984,4.569965,0.999249,34.08173,34.082824
audioseal,5,22,chinese:SSB0038,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,16000,"[27346, 22969, 56969, 42435, 1013]",opus_64k,Opus 64 kbps,5,1,1,3.08206749,4.528971,0.99897,28.54992,28.427494
audioseal,5,23,chinese:SSB0038,3,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,16000,"[62377, 10688, 56685, 52938, 61167]",mp3_128k,MP3 128 kbps,5,1,1,4.33473492,4.281481,0.998929,22.349646,20.82041
audioseal,5,23,chinese:SSB0038,3,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,16000,"[62377, 10688, 56685, 52938, 61167]",none,none,5,1,1,4.37421036,4.581561,0.99893,34.352994,34.354743
audioseal,5,23,chinese:SSB0038,3,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,16000,"[62377, 10688, 56685, 52938, 61167]",opus_64k,Opus 64 kbps,5,1,1,4.43312883,4.516803,0.998624,28.111163,28.011536
audioseal,5,24,chinese:SSB0043,1,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,16000,"[9943, 51368, 54293, 169, 44003]",mp3_128k,MP3 128 kbps,5,1,1,1.47882462,4.470563,0.99878,31.961073,25.047517
audioseal,5,24,chinese:SSB0043,1,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,16000,"[9943, 51368, 54293, 169, 44003]",none,none,5,1,1,1.48011017,4.536947,0.998788,32.764975,32.767205
audioseal,5,24,chinese:SSB0043,1,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,16000,"[9943, 51368, 54293, 169, 44003]",opus_64k,Opus 64 kbps,5,1,1,1.47595215,4.523921,0.998433,31.065533,30.481475
audioseal,5,25,chinese:SSB0043,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,16000,"[45197, 25079, 500, 52339, 21302]",mp3_128k,MP3 128 kbps,5,1,1,2.43767643,4.44106,0.998815,30.541995,24.772554
audioseal,5,25,chinese:SSB0043,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,16000,"[45197, 25079, 500, 52339, 21302]",none,none,5,1,1,2.42067051,4.53741,0.99882,32.82564,32.826301
audioseal,5,25,chinese:SSB0043,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,16000,"[45197, 25079, 500, 52339, 21302]",opus_64k,Opus 64 kbps,5,1,1,2.26450253,4.529028,0.998452,30.97167,30.327516
audioseal,5,26,chinese:SSB0043,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,16000,"[55642, 60647, 42955, 36160, 44012]",mp3_128k,MP3 128 kbps,5,1,1,2.32599831,4.429432,0.99923,30.831274,24.781426
audioseal,5,26,chinese:SSB0043,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,16000,"[55642, 60647, 42955, 36160, 44012]",none,none,5,1,1,2.37520313,4.528645,0.999239,33.265548,33.267676
audioseal,5,26,chinese:SSB0043,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,16000,"[55642, 60647, 42955, 36160, 44012]",opus_64k,Opus 64 kbps,5,1,1,2.32474089,4.521933,0.998714,31.182078,30.691392
audioseal,5,27,chinese:SSB0057,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,16000,"[16697, 53289, 50442, 50737, 9067]",mp3_128k,MP3 128 kbps,5,1,1,1.89051199,4.436663,0.999404,24.462849,22.172701
audioseal,5,27,chinese:SSB0057,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,16000,"[16697, 53289, 50442, 50737, 9067]",none,none,5,1,1,1.87268972,4.619446,0.999413,40.187261,40.186199
audioseal,5,27,chinese:SSB0057,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,16000,"[16697, 53289, 50442, 50737, 9067]",opus_64k,Opus 64 kbps,5,1,1,1.89714622,4.572572,0.998971,28.746878,28.710623
audioseal,5,28,chinese:SSB0057,2,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,16000,"[3756, 56606, 58278, 18140, 43916]",mp3_128k,MP3 128 kbps,5,1,1,1.95121145,4.499927,0.999846,30.828668,24.789266
audioseal,5,28,chinese:SSB0057,2,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,16000,"[3756, 56606, 58278, 18140, 43916]",none,none,5,1,1,2.22148132,4.622577,0.999851,40.078466,40.078687
audioseal,5,28,chinese:SSB0057,2,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,16000,"[3756, 56606, 58278, 18140, 43916]",opus_64k,Opus 64 kbps,5,1,1,2.1218729,4.577773,0.999557,30.251885,30.217185
audioseal,5,29,chinese:SSB0057,3,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,16000,"[63104, 37016, 21467, 5402, 27392]",mp3_128k,MP3 128 kbps,5,1,1,3.3537035,4.422119,0.999447,24.771876,22.350107
audioseal,5,29,chinese:SSB0057,3,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,16000,"[63104, 37016, 21467, 5402, 27392]",none,none,5,1,1,3.37681341,4.606808,0.999455,36.435977,36.436748
audioseal,5,29,chinese:SSB0057,3,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,16000,"[63104, 37016, 21467, 5402, 27392]",opus_64k,Opus 64 kbps,5,1,1,3.33290768,4.554467,0.999058,28.595149,28.564614
audioseal,5,30,chinese:SSB0073,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,16000,"[6438, 47447, 34943, 53659, 6469]",mp3_128k,MP3 128 kbps,5,1,1,0.57575321,4.505852,0.999765,29.685095,24.397497
audioseal,5,30,chinese:SSB0073,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,16000,"[6438, 47447, 34943, 53659, 6469]",none,none,5,1,1,0.58883715,4.592463,0.999769,30.994182,30.995439
audioseal,5,30,chinese:SSB0073,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,16000,"[6438, 47447, 34943, 53659, 6469]",opus_64k,Opus 64 kbps,5,1,1,0.58643579,4.583431,0.999538,28.422364,28.359305
audioseal,5,31,chinese:SSB0073,2,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,16000,"[54097, 30027, 3204, 38197, 63456]",mp3_128k,MP3 128 kbps,5,1,1,3.33146286,4.478143,0.999486,27.947137,23.862704
audioseal,5,31,chinese:SSB0073,2,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,16000,"[54097, 30027, 3204, 38197, 63456]",none,none,5,1,1,3.36484432,4.590345,0.999493,35.092776,35.093485
audioseal,5,31,chinese:SSB0073,2,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,16000,"[54097, 30027, 3204, 38197, 63456]",opus_64k,Opus 64 kbps,5,1,1,2.96940613,4.572034,0.999221,29.684212,29.603384
audioseal,5,32,chinese:SSB0073,3,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,16000,"[46056, 11615, 64842, 22906, 2678]",mp3_128k,MP3 128 kbps,5,1,1,2.52442408,4.468203,0.999746,27.654647,23.725655
audioseal,5,32,chinese:SSB0073,3,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,16000,"[46056, 11615, 64842, 22906, 2678]",none,none,5,1,1,2.59242439,4.581316,0.999752,31.805129,31.80734
audioseal,5,32,chinese:SSB0073,3,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,16000,"[46056, 11615, 64842, 22906, 2678]",opus_64k,Opus 64 kbps,5,1,1,2.64245224,4.559765,0.999567,28.800243,28.685205
audioseal,5,33,chinese:SSB0080,1,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,16000,"[62407, 23107, 35567, 8911, 4436]",mp3_128k,MP3 128 kbps,5,1,1,0.97239876,4.446751,0.999127,28.495328,24.042358
audioseal,5,33,chinese:SSB0080,1,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,16000,"[62407, 23107, 35567, 8911, 4436]",none,none,5,1,1,1.16615295,4.594257,0.999137,33.324165,33.324899
audioseal,5,33,chinese:SSB0080,1,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,16000,"[62407, 23107, 35567, 8911, 4436]",opus_64k,Opus 64 kbps,5,1,1,1.14815855,4.578448,0.998767,28.649885,28.474643
audioseal,5,34,chinese:SSB0080,2,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,16000,"[61805, 86, 60265, 38735, 52776]",mp3_128k,MP3 128 kbps,5,1,1,1.1431694,4.460032,0.997498,30.061997,24.568707
audioseal,5,34,chinese:SSB0080,2,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,16000,"[61805, 86, 60265, 38735, 52776]",none,none,5,1,1,1.10168457,4.580064,0.997504,33.27186,33.274052
audioseal,5,34,chinese:SSB0080,2,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,16000,"[61805, 86, 60265, 38735, 52776]",opus_64k,Opus 64 kbps,5,1,1,1.18273258,4.563739,0.997072,29.253525,28.963623
audioseal,5,35,chinese:SSB0080,3,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,16000,"[17665, 27318, 19949, 39069, 25922]",mp3_128k,MP3 128 kbps,5,1,1,3.69111109,4.503348,0.999081,30.01783,24.502623
audioseal,5,35,chinese:SSB0080,3,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,16000,"[17665, 27318, 19949, 39069, 25922]",none,none,5,1,1,3.81275606,4.583112,0.999088,31.274015,31.275417
audioseal,5,35,chinese:SSB0080,3,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,16000,"[17665, 27318, 19949, 39069, 25922]",opus_64k,Opus 64 kbps,5,1,1,3.67913437,4.566968,0.998787,27.053801,26.921015
