model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,27,chinese:SSB0057,0,2,16493,0,-8.00000000,1.96850197
wavmark,27,chinese:SSB0057,0,2,55576,0,-9.00000000,2.42383993
wavmark,27,chinese:SSB0057,0,2,55173,0,-9.00000000,2.34520788
wavmark,27,chinese:SSB0057,0,2,37377,0,-10.00000000,2.64575131
wavmark,27,chinese:SSB0057,0,2,15067,0,-10.00000000,2.97909382
wavmark,28,chinese:SSB0057,1,2,34923,0,-8.00000000,2.54950976
wavmark,28,chinese:SSB0057,1,2,51788,0,-6.00000000,1.41421356
wavmark,28,chinese:SSB0057,1,2,14229,0,-8.00000000,2.70801280
wavmark,28,chinese:SSB0057,1,2,54881,0,-9.00000000,2.51661148
wavmark,28,chinese:SSB0057,1,2,2133,0,-8.00000000,2.41522946
wavmark,28,chinese:SSB0057,1,2,56569,0,-10.00000000,2.91547595
wavmark,28,chinese:SSB0057,1,2,64922,0,-8.00000000,2.41522946
wavmark,28,chinese:SSB0057,1,2,63450,0,-7.00000000,2.51661148
wavmark,28,chinese:SSB0057,1,2,33372,0,-7.00000000,2.19848433
wavmark,28,chinese:SSB0057,1,2,63684,0,-5.00000000,1.68325082
wavmark,29,chinese:SSB0057,2,2,6699,0,-7.00000000,2.54950976
wavmark,29,chinese:SSB0057,2,2,33220,0,-9.00000000,2.30940108
wavmark,29,chinese:SSB0057,2,2,24483,0,-10.00000000,3.08220700
wavmark,29,chinese:SSB0057,2,2,41287,0,-7.00000000,2.30940108
wavmark,29,chinese:SSB0057,2,2,45682,0,-6.00000000,2.34520788
wavmark,29,chinese:SSB0057,2,2,23153,0,-8.00000000,2.73861279
wavmark,29,chinese:SSB0057,2,2,59137,0,-11.00000000,2.91547595
wavmark,29,chinese:SSB0057,2,2,26710,0,-7.00000000,2.30940108
wavmark,29,chinese:SSB0057,2,2,62678,0,-6.00000000,2.34520788
wavmark,29,chinese:SSB0057,2,2,56612,0,-14.00000000,3.29140294
wavmark,30,chinese:SSB0073,0,2,34137,0,-12.00000000,2.80305955
wavmark,30,chinese:SSB0073,0,2,35978,0,-9.00000000,2.53546276
wavmark,30,chinese:SSB0073,0,2,14845,0,-6.00000000,2.59119388
wavmark,30,chinese:SSB0073,0,2,29364,0,-5.00000000,1.85164020
wavmark,30,chinese:SSB0073,0,2,14067,0,-5.00000000,2.17124059
wavmark,30,chinese:SSB0073,0,2,15821,0,-7.00000000,2.77746030
wavmark,30,chinese:SSB0073,0,2,62667,0,-7.00000000,2.77746030
wavmark,30,chinese:SSB0073,0,2,60740,0,-11.00000000,2.95199690
wavmark,30,chinese:SSB0073,0,2,56536,0,-10.00000000,2.80305955
wavmark,30,chinese:SSB0073,0,2,7090,0,-7.00000000,2.17124059
wavmark,31,chinese:SSB0073,1,2,48633,0,-7.00000000,2.39791576
wavmark,31,chinese:SSB0073,1,2,21950,0,-5.00000000,2.23606798
wavmark,31,chinese:SSB0073,1,2,13607,0,-5.00000000,2.00000000
wavmark,31,chinese:SSB0073,1,2,53714,0,-5.00000000,1.41421356
wavmark,31,chinese:SSB0073,1,2,23843,0,-7.00000000,2.39791576
wavmark,31,chinese:SSB0073,1,2,6176,0,-6.00000000,2.59807621
wavmark,31,chinese:SSB0073,1,2,43989,0,-9.00000000,2.64575131
