model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
voicemark,5,265,english:1992,2,dataset/collusion_300/english/1992/english_1992_02.wav,5,6,uniform,1,13,0.8125,4.2526,0.9765,17.77
voicemark,5,266,english:1992,3,dataset/collusion_300/english/1992/english_1992_03.wav,5,5,uniform,1,13,0.8125,4.2618,0.9743,18.39
voicemark,5,267,english:200,1,dataset/collusion_300/english/200/english_200_01.wav,5,6,uniform,1,9,0.5625,4.2534,0.9837,21.92
voicemark,5,268,english:200,2,dataset/collusion_300/english/200/english_200_02.wav,5,5,uniform,1,12,0.7500,4.1698,0.9772,16.73
voicemark,5,269,english:200,3,dataset/collusion_300/english/200/english_200_03.wav,5,5,uniform,1,11,0.6875,4.3223,0.9799,20.31
voicemark,5,270,english:2002,1,dataset/collusion_300/english/2002/english_2002_01.wav,5,5,uniform,1,12,0.7500,4.2962,0.9802,16.74
voicemark,5,271,english:2002,2,dataset/collusion_300/english/2002/english_2002_02.wav,5,6,uniform,1,14,0.8750,4.0542,0.9701,16.38
voicemark,5,272,english:2002,3,dataset/collusion_300/english/2002/english_2002_03.wav,5,5,uniform,1,12,0.7500,4.2351,0.9791,17.69
voicemark,5,273,english:2007,1,dataset/collusion_300/english/2007/english_2007_01.wav,5,5,uniform,1,14,0.8750,4.4445,0.9883,12.22
voicemark,5,274,english:2007,2,dataset/collusion_300/english/2007/english_2007_02.wav,5,6,uniform,1,11,0.6875,4.3563,0.9872,14.23
voicemark,5,275,english:2007,3,dataset/collusion_300/english/2007/english_2007_03.wav,5,5,uniform,1,12,0.7500,3.8356,0.9797,12.84
voicemark,5,276,english:201,1,dataset/collusion_300/english/201/english_201_01.wav,5,5,uniform,1,12,0.7500,4.3445,0.9858,14.66
voicemark,5,277,english:201,2,dataset/collusion_300/english/201/english_201_02.wav,5,5,uniform,1,10,0.6250,4.2238,0.9751,12.86
voicemark,5,278,english:201,3,dataset/collusion_300/english/201/english_201_03.wav,5,5,uniform,1,11,0.6875,4.2579,0.9810,9.96
voicemark,5,279,english:2092,1,dataset/collusion_300/english/2092/english_2092_01.wav,5,6,uniform,1,10,0.6250,4.0185,0.9542,16.42
voicemark,5,280,english:2092,2,dataset/collusion_300/english/2092/english_2092_02.wav,5,5,uniform,1,11,0.6875,4.2959,0.9729,17.78
voicemark,5,281,english:2092,3,dataset/collusion_300/english/2092/english_2092_03.wav,5,5,uniform,1,11,0.6875,4.3091,0.9615,19.34
voicemark,5,282,english:211,1,dataset/collusion_300/english/211/english_211_01.wav,5,5,uniform,1,11,0.6875,4.3025,0.9845,15.13
voicemark,5,283,english:211,2,dataset/collusion_300/english/211/english_211_02.wav,5,5,uniform,1,12,0.7500,4.2828,0.9878,16.10
